year,country,Global_Energy_Dependency_0_100,Worldwide_Governance_Indicators
2002,AUS,0.0,82.2533828
2002,AUT,69.1809721709656,81.5922245
2002,AZE,0.0,39.6250785
2002,BEL,88.5769003632831,83.2817713
2002,BEN,31.9551055315645,56.0156834
2002,BGD,19.7062195987588,45.2917438
2002,BGR,47.4211786188032,64.08099299999999
2002,BHR,0.0,46.9527195
2002,BIH,24.6964440589766,55.300010099999994
2002,BLR,84.3405505017411,34.075320999999995
2002,BOL,0.0,57.290452599999995
2002,BRA,15.6930656209369,65.3207101
2002,BRN,0.0,42.804508899999995
2002,CAN,0.0,85.3728549
2002,CHE,58.5210326412354,85.1303159
2002,CHL,69.0840375617552,77.37596239999999
2002,CHN,1.55077393655025,28.232794199999997
2002,CMR,0.0,33.3404808
2002,COL,0.0,48.3780242
2002,CRI,64.2444906705039,76.5935399
2002,CYP,100.0,75.0563961
2002,CZE,26.3359451048518,72.3867082
2002,DEU,61.7994878938763,83.8049959
2002,DNK,0.0,87.0867074
2002,DZA,0.0,39.8938835
2002,ECU,0.0,54.3302304
2002,ESP,84.2968175535536,79.4625672
2002,EST,32.8596857510734,74.1950356
2002,FIN,53.7323945105235,87.2647357
2002,FRA,51.9902296112764,78.49105829999999
2002,GAB,0.0,42.1066881
2002,GBR,0.0,82.52421629999999
2002,GEO,47.2417807318952,46.243002399999995
2002,GHA,38.8619983309308,54.5476288
