year,country,Public_Debt (%GDP),Energy_Import_Dependency,Tertiary_education_attainment,Inflation_Rate,Unemployment_Variation,Worldwide_Governance_Indicators,Productivity_Variation,GDP_Growth,missing_count
2002,HND,,56.3144475122557,,,,48.5273117,,,138
2002,HRV,45.014,54.9870799655465,22.7814579,1.691667,14.708,64.8160363,18.942951111409567,,24
2002,HUN,71.895,57.3270695173496,14.211662,5.265448,5.811,75.3859399,1687.2333334625628,4.730064081,0
2002,IDN,30.713,0.0,8.1296101,11.90012,9.061,49.722856,,4.499475391,24
2002,IND,,22.1969266729062,10.595189,4.29716,4.349,62.352457699999995,,9.39265,48
2002,IRL,27.475,94.3753409801325,24.814322,4.628205,4.759,80.76120279999999,48.2590990702148,5.899366512,0
2002,IRQ,,0.0,,,,18.736901,,,132
2002,ISL,72.434,20.4889143459192,27.861868,5.197023,3.251,83.8665855,2728.7979790416202,0.54228672,0
2002,ISR,78.682,100.0,42.090389,5.802346,12.785,65.92588669999999,79.3869907861837,-0.105185102,0
2002,ITA,109.755,87.9148588781137,10.367989,2.46532,8.985,73.70920679999999,45.02795975076375,0.269941113,0
2002,JAM,,97.5056228585843,,,,63.1620249,,,114
2002,JPN,153.206,82.9888784175082,36.575481,-0.9,5.38,75.24020019999999,2210.2474103866934,0.085008749,0
2002,KAZ,,0.0,,,,39.395164,,,138
2002,KEN,,19.0989702752234,,,,41.1904433,,,138
2002,KGZ,,53.8726282986866,,,,40.3502626,,,132
2002,KWT,,0.0,,,,52.834592,,,108
2002,LBY,,0.0,,,,23.7312083,,,132
2002,LKA,,48.16025450541,,,,52.9627032,,,108
2002,LTU,19.388,41.681439496854,35.700013,0.2815066,13.737,68.0745395,15.195798243709001,6.719840348,0
2002,LUX,17.207,100.0,21.590238199999998,2.074089,2.621,82.48021159999999,78.3349983530962,3.225291523,0
2002,LVA,14.003,62.1902243693094,18.869808,1.938879,12.481,67.1253637,12.287004522267821,7.665494318,0
2002,MAR,,88.1574659322708,,,,46.480453399999995,,,138
2002,MDA,,96.8718902114465,,,,47.6514714,,,132
2002,MDG,,11.3818089512975,,,,52.069888999999996,,,36
2002,MEX,41.202,0.0,15.364734,5.030733,2.864,61.9995323,83.04297177562174,-0.236588008,0
2002,MKD,,46.7216058366568,,,36.025,49.223825,,,115
2002,MLT,,100.0,,,6.9,75.593614,,,120
2002,MMR,,0.0,,,,18.8768107,,,132
2002,MNG,,19.5257157527409,,,,61.1650504,,,132
2002,MOZ,,0.0,,,,51.8293435,,,132
2002,MYS,,0.0,,,,45.965057599999994,,,132
2002,NAM,,68.9350976685569,,,,59.7300476,,,132
2002,NGA,,0.0,,,,40.9000175,,,132
2002,NIC,,48.4414863071086,,,,52.946481899999995,,,132
2002,NLD,50.366,42.7494399700543,25.02088,3.287531,3.066,86.081718,52.9256974698051,0.246208692,0
2002,NOR,55.846,0.0,32.692787,1.286725,3.762,86.1027787,359.95842407577146,1.457474441,0
2002,NPL,,10.5864170546877,,,,40.1168372,,,132
2002,NZL,25.729,21.6064754548772,35.628941,2.677091,5.282,83.7719985,42.36004332740955,4.706290027,0
2002,OMN,,0.0,,,,44.9755824,,,132
2002,PAK,,24.391055188242,,,,35.3812972,,,132
2002,PAN,,100.0,,,,65.6335601,,,132
2002,PER,,22.7213143566442,32.44971085,,5.19,61.2065943,,,96
2002,PHL,,48.1602512846163,,,,57.861942199999994,,,132
2002,POL,51.475,11.4914715396506,12.585118,1.941667,19.932,73.92318689999999,31.3688173870754,1.901146468,0
2002,PRT,80.161,87.5937686195704,9.4179335,3.600347,5.0,81.56062899999999,25.23348234072717,0.770924504,0
2002,PRY,,0.0,,,,46.478951699999996,,,138
2002,QAT,,0.0,,,,39.4356805,,,126
2002,ROU,16.691,24.4432449897371,17.160242,,8.44,60.340634099999995,17.443055039661676,,48
2002,RUS,,0.0,,15.78873,7.875,49.902552299999996,,7.175949193,66
2002,RWA,,8.09367439849966,,,,30.618983699999998,,,126
2002,SAU,,0.0,,0.2471872,,24.8947492,,11.758820687,96
2002,SDN,,0.0,,,,26.8047941,,,132
2002,SEN,,57.5662100456619,,,,60.4251362,,,138
2002,SGP,,100.0,,,,60.6308272,,,138
2002,SLV,,55.9835880293992,,,,55.3934874,,,132
2002,SRB,,26.4643735389661,,,,51.6118208,,,138
2002,SUR,,0.0,,,,62.937380399999995,,,138
2002,SVK,36.467,64.1994984234894,10.958904,3.127133,18.633,70.1715284,18.408970831117173,4.417253483,0
2002,SVN,30.907,49.6913940876881,15.257369,7.480778,6.312,74.7983989,24.7545671009163,3.282583843,0
2002,SWE,48.015,38.3978448691625,32.56509,2.158482,5.208,86.7042377,268.39877662288166,2.277719954,0
2002,SWZ,,12.0626684466386,,,,34.978795999999996,,,132
2002,SYR,,0.0,,,,27.654912699999997,,,132
2002,TCD,,4.52008806923462,,,,37.2341335,,,114
2002,THA,,46.9962899893864,,,,62.964315,,,138
2002,TJK,,36.2675858661848,,,,37.7111148,,,132
2002,TKM,,0.0,,,,24.8664722,,,132
2002,TTO,,0.0,,,,64.3980261,,,132
2002,TUN,,20.1938358843954,,,,37.0233422,,,132
2002,TUR,48.901,68.8098367142749,9.1408987,44.96412,10.358,51.8230514,27.382742642803716,6.435508858,0
2002,UGA,,4.82086877557033,,,,36.8462433,,,132
2002,UKR,,43.6308798885512,,,,44.8829889,,,138
2002,URY,,54.7758560496691,,,,74.48414869999999,,,132
2002,USA,64.674,27.8963061327111,38.133007,1.586032,5.783,81.4067577,53.07678784640835,1.700443814,0
2002,UZB,,0.0,,,,28.1920291,,,132
2002,VNM,,0.0,,,,30.6969258,,,132
2002,ZAF,38.354,0.0,6.860743,9.49471,27.1805013603779,65.81927019999999,,3.700374403,24
2002,ZMB,,7.78900912748387,,,,48.275739699999995,,,132
2002,ZWE,,18.5006446018871,,,,28.509410499999998,,,132
2003,AGO,,0.0,,,,33.9253719,,,132
2003,ALB,,51.5567710161061,,,,54.6310229,,,138
2003,ARE,,0.0,,,,41.655090699999995,,,132
2003,ARG,,0.0,16.711861,34.27723,7.561,64.1974319,,8.837040773,48
2003,ARM,,65.8698587202855,,,,46.198528499999995,,,132
2003,AUS,12.765,0.0,31.314152,2.732596,5.932,82.3347099,58.165624998476545,3.118015258,0
2003,AUT,70.344,72.0728608388597,24.783438,1.355554,4.279,81.1125356,50.047943901661355,1.141564997,0
2003,AZE,,0.0,,,,39.644368,,,138
2003,BEL,94.929,91.4404517841402,29.031809,1.588964,8.174,83.7350683,56.428858974485905,1.038009104,0
2003,BEN,,34.4706070799294,,,,58.2041298,,,84
2003,BGD,,19.9285740363967,,,,44.3184094,,,132
2003,BGR,48.474,47.4286426431466,27.49805641,2.348642,13.678,64.51505829999999,13.44957590680237,,24
2003,BHR,,0.0,,,,46.732974,,,132
2003,BIH,,21.053003073114,,,,57.868642099999995,,,138
2003,BLR,,85.235837610483,,,,34.5111837,,,132
2003,BOL,,0.0,,,,55.449540799999994,,,132
2003,BRA,87.124,12.6504339560963,9.6238279,14.71492,9.731,65.4164977,,1.140828999,24
2003,BRN,,0.0,,,,41.7636849,,,132
2003,CAN,71.325,0.0,44.123833,2.758563,7.563,85.3155465,48.703859666141824,1.806385134,0
2003,CHE,45.939,57.1442553714071,26.875856,0.6382729,4.117,85.3937004,63.97687949415928,-0.284222455,0
2003,CHL,11.376,71.3337721552689,17.120726,2.810177,9.76,76.5771121,3345.2031007168143,4.723245269,0
2003,CHN,,2.81787719089625,9.6811743,1.2,3.366,28.9693689,,10.1,48
2003,CMR,,0.0,,,,34.4696013,,,132
2003,COL,49.574,0.0,16.965132,7.129788,14.189,48.4317971,5479.1037549187195,6.716868698,0
2003,CRI,,62.669800889006,19.18364,9.447581,6.558,75.7827196,1798.7343335196251,4.317179867,24
2003,CYP,,100.0,,,4.135,74.6798913,,,120
2003,CZE,30.775,25.0623374140375,12.005664,0.1187392,7.778,73.2181849,209.35153348191213,3.300836833,0
2003,DEU,66.353,62.269879079911,23.982014,1.034223,9.267,82.8235036,51.301528588530694,-0.529801047,0
2003,DNK,37.457,0.0,31.847263,2.075078,5.306,87.562355,237.27315508752724,0.441090951,0
2003,DZA,,0.0,,,,38.3337693,,,138
2003,ECU,,0.0,,,,54.9413701,,,132
