year,country,Inflation_Rate,Unemployment_Variation,Gov_score,Productivity_Variation,GDP_Growth
2014,URY,,,76.9866406,,
2014,USA,1.622223,6.167,77.8551578,71.45818014039985,2.523821217
2014,UZB,,,29.984536,,
2014,VNM,,,36.4178594,,
2014,ZAF,6.13283,24.89,66.5991409,,1.413826451
2014,ZMB,,,53.827881,,
2014,ZWE,,,32.264573,,
2015,AGO,,,36.646119899999995,,
2015,ALB,,,58.1856874,,
2015,ARE,,,45.0842203,,
2015,ARG,34.27723,7.561,63.2869611,,2.731159839
2015,ARM,,,50.661152099999995,,
2015,AUS,1.508367,6.055,84.05763739999999,75.36614553406532,2.301805489
2015,AUT,0.8965653,5.723,83.9174984,64.46506137404795,1.303523534
2015,AZE,,,36.069138099999996,,
2015,BEL,0.5614291,8.482,83.4984434,69.42322745990053,1.474142011
2015,BGD,,,41.4991172,,
2015,BGR,-0.1046333,9.143,61.0875091,21.9294793008523,
2015,BHR,,,37.9236213,,
2015,BIH,,,53.1364399,,
2015,BLR,,,35.9171499,,
2015,BOL,,,54.0587581,,
2015,BRA,9.029902,8.729,64.9224025,,-3.545763397
2015,BRN,,,46.980810999999996,,
2015,BWA,,,61.578846,,
2015,CAN,1.125241,6.982,84.5437007,59.93290351659452,0.649971004
2015,CHE,-1.143909,4.801,85.41250149999999,79.90128306655348,1.454503249
2015,CHL,4.348773,6.332,76.5716741,5401.635112268392,2.1519425
2015,CHN,1.4,2.876,32.4786757,,7.0
2015,CMR,,,39.7021454,,
2015,COL,4.989829,9.19,57.143398499999996,8946.296227764777,2.955901375
2015,CRI,0.801982,9.613,77.1279242,3686.611668181431,3.652080968
2015,CUB,,,32.378517699999996,,
2015,CYP,,14.91,74.5414851,,
2015,CZE,0.3093646,5.048,74.12534939999999,298.42997252898965,4.958758489
2015,DEU,0.514421,4.624,84.70839219999999,62.63316947539217,1.663006635
2015,DNK,0.4520341,6.082,88.4046798,301.6196886235072,2.104413741
2015,DOM,,,56.633509,,
2015,DZA,,,44.1474398,,
2015,ECU,,,49.7402114,,
2015,ESP,-0.5003657,22.057,76.0518361,45.786050576638225,4.060957462
2015,EST,-0.492326,6.164,78.8819589,30.07480235542895,1.838155074
2015,ETH,,,33.842063599999996,,
2015,FIN,-0.207932,9.265,88.9116954,60.18189333136685,0.466503518
2015,FRA,0.03751438,10.351,78.3723529,64.33736507941963,1.066754748
2015,GAB,,,41.298978,,
2015,GBR,0.4,5.252,82.45158099999999,53.70297856992678,2.140405611
2015,GEO,,,61.3634638,,
2015,GHA,,,63.6349404,,
2015,GNQ,,,26.094987699999997,,
