Country,shock_id,Year,gdp_growth,gdp_index_dynamic_baseline_100,dynamic_baseline_year,first_negative_year
ITA,2007,2015,0.885667635240808,91.94462372025379,2007,2008
ITA,2007,2016,1.2362210851166,93.08126254531469,2007,2008
ITA,2007,2017,1.60369995294101,94.57400670895079,2007,2008
ITA,2007,2018,0.826646712344118,95.35579962614243,2007,2008
ITA,2007,2019,0.429162533780334,95.76503099192448,2007,2008
ITA,2007,2020,-8.86822122185344,87.27237619038411,2007,2008
ITA,2007,2021,8.93106210800055,95.06672631107519,2007,2008
ITA,2007,2022,4.82117669913565,99.65006116861579,2007,2008
ITA,2007,2023,0.922796543670305,100.56962848884513,2007,2008
ITA,2007,2024,0.783039135276788,101.35712803811526,2007,2008
ITA,2007,2025,0.53958363677845,101.90403451571751,2007,2008
JPN,2007,2007,,100.0,2007,2008
JPN,2007,2008,-1.16662209352171,98.83337790647829,2007,2008
JPN,2007,2009,-5.9359411384995,92.96668676875898,2007,2008
JPN,2007,2010,4.13645589223656,96.81221276142242,2007,2008
JPN,2007,2011,-0.200357853363191,96.61824189014023,2007,2008
JPN,2007,2012,1.64893452980873,98.21141344276086,2007,2008
JPN,2007,2013,1.99727653415519,100.17296695731524,2007,2008
JPN,2007,2014,0.905915485966732,101.08044937773388,2007,2008
JPN,2007,2015,1.79997735786545,102.89987457976174,2007,2008
JPN,2007,2016,0.704986495042497,103.62530479896472,2007,2008
JPN,2007,2017,1.6234506224324,105.307610454721,2007,2008
JPN,2007,2018,0.834143846025792,106.18602740672586,2007,2008
JPN,2007,2019,-0.30849692105612,105.85844678158429,2007,2008
JPN,2007,2020,-4.28327942682386,101.32423370903341,2007,2008
JPN,2007,2021,3.56419531468468,104.93562729953094,2007,2008
JPN,2007,2022,1.33164750658838,106.33299996398802,2007,2008
JPN,2007,2023,0.720785304761168,107.09943260184014,2007,2008
JPN,2007,2024,-0.240084236010348,106.84230374730659,2007,2008
JPN,2007,2025,1.19311288445229,108.11705303936137,2007,2008
LTU,2007,2008,,100.0,2008,2009
LTU,2007,2009,-14.8386107131479,85.1613892868521,2008,2009
LTU,2007,2010,0.427199271082168,85.52519812112898,2008,2009
LTU,2007,2011,6.32363661884163,90.93350086785355,2008,2009
LTU,2007,2012,4.38290480410845,94.91902964593471,2008,2009
LTU,2007,2013,4.04691541151445,98.76032248513602,2008,2009
LTU,2007,2014,3.77254263951362,102.48609776180892,2008,2009
LTU,2007,2015,2.83280630717752,105.38933040318557,2008,2009
LTU,2007,2016,2.67192209135325,108.20525120415755,2008,2009
LTU,2007,2017,4.61224350881722,113.19594087902067,2008,2009
LTU,2007,2018,4.91836859429983,118.76333448523663,2008,2009
LTU,2007,2019,4.67735190816578,124.31831357698316,2008,2009
LTU,2007,2020,0.042814984430944,124.37154044358596,2008,2009
LTU,2007,2021,6.3948169637992,132.32487281001076,2008,2009
LTU,2007,2022,2.46532100507708,135.58710569433748,2008,2009
LTU,2007,2023,0.73953718367644,136.58982275721777,2008,2009
LTU,2007,2024,3.03019617402242,140.728762340511,2008,2009
LTU,2007,2025,2.92007588923427,144.83814899883404,2008,2009
LUX,2007,2007,,100.0,2007,2008
LUX,2007,2008,-0.302274359961343,99.69772564003866,2007,2008
LUX,2007,2009,-3.23895280631301,96.46856335759038,2007,2008
LUX,2007,2010,3.76040742160789,100.09617437360771,2007,2008
LUX,2007,2011,1.04428516988237,101.1414638782109,2007,2008
LUX,2007,2012,1.64971175997939,102.81000650202505,2007,2008
LUX,2007,2013,3.17168530771626,106.0708163731119,2007,2008
LUX,2007,2014,2.62308842898868,108.85314768392882,2007,2008
LUX,2007,2015,2.26836464468261,111.32233400061521,2007,2008
LUX,2007,2016,4.97819043681628,116.86417178587453,2007,2008
LUX,2007,2017,1.31711904640045,118.40341205088441,2007,2008
LUX,2007,2018,1.61130013199336,120.31124638554495,2007,2008
LUX,2007,2019,2.74932115954172,123.61898893973111,2007,2008
LUX,2007,2020,-0.510052266643745,122.98846748464193,2007,2008
LUX,2007,2021,6.92973308234224,131.5112400033909,2007,2008
LUX,2007,2022,-1.0974135408092,130.0680178479076,2007,2008
LUX,2007,2023,0.099438212984151,130.19735516051946,2007,2008
LUX,2007,2024,0.358613074098224,130.66425989825518,2007,2008
LUX,2007,2025,0.637878874926358,131.49773960922505,2007,2008
LVA,2007,2007,,100.0,2007,2008
LVA,2007,2008,-3.38871665849958,96.61128334150042,2007,2008
LVA,2007,2009,-16.0400195313042,81.11481462408011,2007,2008
LVA,2007,2010,-3.66125859554763,78.14499150139345,2007,2008
LVA,2007,2011,3.03634482668815,80.5177429081619,2007,2008
LVA,2007,2012,7.30524057200897,86.39975773075481,2007,2008
LVA,2007,2013,2.09609028156248,88.2107746558427,2007,2008
LVA,2007,2014,2.09495977105589,90.05875489861937,2007,2008
LVA,2007,2015,3.78336712084973,93.46600822090038,2007,2008
LVA,2007,2016,2.55168601974034,95.85096728588245,2007,2008
LVA,2007,2017,3.39894872623932,99.10889251753402,2007,2008
LVA,2007,2018,4.30971286294503,103.38020120668455,2007,2008
LVA,2007,2019,0.675372771884221,104.07840293715363,2007,2008
LVA,2007,2020,-3.46922750780554,100.4676863527732,2007,2008
LVA,2007,2021,6.94254173062591,107.44269740360883,2007,2008
LVA,2007,2022,1.90853419029802,109.49327801853515,2007,2008
LVA,2007,2023,-0.941606068823627,108.4622826677587,2007,2008
LVA,2007,2024,-0.037055664828897,108.42209124782757,2007,2008
LVA,2007,2025,2.13786855731287,110.74001304579593,2007,2008
MEX,2007,2008,,100.0,2008,2009
MEX,2007,2009,-6.29525054832923,93.70474945167076,2008,2009
MEX,2007,2010,4.97133457773946,98.3631260621458,2008,2009
MEX,2007,2011,3.44404506291745,101.75079644902038,2008,2009
MEX,2007,2012,3.55321077418754,105.3662167112686,2008,2009
MEX,2007,2013,0.852101536038698,106.26404386233119,2008,2009
MEX,2007,2014,2.50376353062294,108.9246442387214,2008,2009
MEX,2007,2015,2.7023234069354,111.86814039590547,2008,2009
MEX,2007,2016,1.77249324712225,113.85099563010414,2008,2009
MEX,2007,2017,1.87172850295352,115.98197716620916,2008,2009
MEX,2007,2018,1.97208209438907,118.26923697062239,2008,2009
MEX,2007,2019,-0.392690467905817,117.80480495057381,2008,2009
MEX,2007,2020,-8.35403459655553,107.96335078859812,2008,2009
MEX,2007,2021,6.04848344372723,114.49349618633964,2008,2009
MEX,2007,2022,3.7097570835665,118.74092677133531,2008,2009
MEX,2007,2023,3.10679642176915,122.42996563544267,2008,2009
MEX,2007,2024,1.35057632189223,124.08347576221577,2008,2009
MEX,2007,2025,0.561683858247848,124.780432616325,2008,2009
NLD,2007,2008,,100.0,2008,2009
NLD,2007,2009,-3.66528149253693,96.33471850746307,2008,2009
NLD,2007,2010,1.3193529155427,97.60571342477114,2008,2009
NLD,2007,2011,1.77330321756706,99.33655868146188,2008,2009
NLD,2007,2012,-0.977826174318289,98.3652198100075,2008,2009
NLD,2007,2013,-0.03024106448547,98.33547312045349,2008,2009
NLD,2007,2014,1.6125589453545,99.92119058871403,2008,2009
NLD,2007,2015,2.12063999381399,102.0401593186334,2008,2009
NLD,2007,2016,2.42428066633014,104.51389917288749,2008,2009
NLD,2007,2017,2.78150835992657,107.42096201566657,2008,2009
NLD,2007,2018,2.25873157632899,109.84731320431081,2008,2009
NLD,2007,2019,2.30016165959577,112.37397898673244,2008,2009
NLD,2007,2020,-3.86799717641019,108.02735665250584,2008,2009
NLD,2007,2021,6.27683592921156,114.80805658824784,2008,2009
NLD,2007,2022,5.00723459144187,120.55676531149675,2008,2009
NLD,2007,2023,-0.598061081487558,119.83576221706839,2008,2009
NLD,2007,2024,1.07383141717163,121.12259628076237,2008,2009
NLD,2007,2025,1.78463213358481,123.28418905502106,2008,2009
NOR,2007,2008,,100.0,2008,2009
NOR,2007,2009,-1.61327152548187,98.38672847451812,2008,2009
NOR,2007,2010,1.00493268701128,99.37544886863958,2008,2009
NOR,2007,2011,1.38505116965285,100.75184968554244,2008,2009
NOR,2007,2012,2.82395674264371,103.59703833807556,2008,2009
NOR,2007,2013,1.27290176604875,104.91572686865513,2008,2009
NOR,2007,2014,2.09521389689794,107.11393575803866,2008,2009
NOR,2007,2015,2.04428844209107,109.30365356660911,2008,2009
NOR,2007,2016,1.29158731971491,110.71540569606054,2008,2009
NOR,2007,2017,2.66964475318497,113.67111371519287,2008,2009
NOR,2007,2018,1.11039123948304,114.93330780370918,2008,2009
NOR,2007,2019,1.46970782445096,116.6224916214006,2008,2009
NOR,2007,2020,-1.36055724136171,115.03577586658918,2008,2009
NOR,2007,2021,4.14314688956676,119.80187703629475,2008,2009
NOR,2007,2022,4.080397696388,124.6902700671133,2008,2009
NOR,2007,2023,0.352695598196152,125.13004716101891,2008,2009
NOR,2007,2024,1.42372133538151,126.91155033942329,2008,2009
NOR,2007,2025,1.0852818560812,128.2888983685284,2008,2009
NZL,2007,2007,,100.0,2007,2008
NZL,2007,2008,-1.46081231848151,98.5391876815185,2007,2008
NZL,2007,2009,2.0759238193193,100.58478614996288,2007,2008
NZL,2007,2010,0.90780083455405,101.49789567806664,2007,2008
NZL,2007,2011,2.4712020518235,104.0061137586207,2007,2008
NZL,2007,2012,2.65455301476395,106.767011186939,2007,2008
NZL,2007,2013,1.86632828302664,108.75963411366307,2007,2008
NZL,2007,2014,3.65114234141068,112.73060316515036,2007,2008
NZL,2007,2015,4.22590847101247,117.4944952737299,2007,2008
NZL,2007,2016,3.83591840618946,122.0014882441943,2007,2008
NZL,2007,2017,4.2513788466025,127.18823370794821,2007,2008
NZL,2007,2018,3.80325795054603,132.02553031860484,2007,2008
NZL,2007,2019,2.51210666714825,135.34215246807634,2007,2008
NZL,2007,2020,0.20137027731347,135.6146913358233,2007,2008
NZL,2007,2021,4.38121051766326,141.55625645612497,2007,2008
NZL,2007,2022,4.02139692390745,147.24879539885015,2007,2008
NZL,2007,2023,1.47835511972711,149.42565550436555,2007,2008
NZL,2007,2024,-0.697375082155798,148.38359821653015,2007,2008
NZL,2007,2025,0.462871644025336,149.07042381705895,2007,2008
PRT,2007,2008,,100.0,2008,2009
PRT,2007,2009,-3.12207824533705,96.87792175466295,2008,2009
PRT,2007,2010,1.73762476927774,98.56129651903349,2008,2009
PRT,2007,2011,-1.713527813215,96.87242129011454,2008,2009
PRT,2007,2012,-4.05090231903788,92.94821412956514,2008,2009
PRT,2007,2013,-0.984106731694324,92.03350449732643,2008,2009
PRT,2007,2014,0.741391175048458,92.71583277775744,2008,2009
PRT,2007,2015,1.58979837174942,94.18982757761215,2008,2009
PRT,2007,2016,2.00414097957949,96.07752451069034,2008,2009
PRT,2007,2017,3.31472039964242,99.26222581511765,2008,2009
PRT,2007,2018,2.94628340187853,102.18677229864363,2008,2009
PRT,2007,2019,2.74568424839234,104.99249840958804,2008,2009
PRT,2007,2020,-8.20463158755973,96.37825072050683,2008,2009
PRT,2007,2021,5.55875648640731,101.7356829839189,2008,2009
PRT,2007,2022,6.98584155399039,108.84277660104543,2008,2009
PRT,2007,2023,3.09997914450865,112.21687997598198,2008,2009
PRT,2007,2024,2.21460081236777,114.70203591154385,2008,2009
PRT,2007,2025,1.86112387333898,116.83678288509945,2008,2009
RUS,2007,2008,,100.0,2008,2009
RUS,2007,2009,-7.82088498169573,92.17911501830427,2008,2009
RUS,2007,2010,4.50372564357717,96.33060945940613,2008,2009
RUS,2007,2011,4.26417647230963,100.43831664360661,2008,2009
RUS,2007,2012,4.02408606567014,104.48004094825563,2008,2009
RUS,2007,2013,1.75542218383529,106.31410676474151,2008,2009
RUS,2007,2014,0.736267283175575,107.09686275025065,2008,2009
RUS,2007,2015,-1.97271925256699,104.98414231988122,2008,2009
RUS,2007,2016,0.193671101211007,105.18746626440905,2008,2009
RUS,2007,2017,1.82580927627059,107.10798878093863,2008,2009
RUS,2007,2018,2.80724545455073,110.11477292745224,2008,2009
RUS,2007,2019,2.03298269924564,112.35338721038096,2008,2009
SVK,2007,2008,,100.0,2008,2009
SVK,2007,2009,-5.50533790972225,94.49466209027774,2008,2009
SVK,2007,2010,6.79058159142423,100.91139921905867,2008,2009
SVK,2007,2011,2.56242473215553,103.49717787021203,2008,2009
SVK,2007,2012,1.56917104702705,105.12122561984148,2008,2009
SVK,2007,2013,0.703323545247198,105.86056795067826,2008,2009
SVK,2007,2014,2.70795151449487,108.72722080375154,2008,2009
SVK,2007,2015,5.17687909722133,114.35589757053063,2008,2009
SVK,2007,2016,1.94781841524559,116.5833428023288,2008,2009
SVK,2007,2017,2.87473327453696,119.93480295043483,2008,2009
SVK,2007,2018,4.06211981896484,124.80669835092088,2008,2009
SVK,2007,2019,2.27589910019393,127.64717287567123,2008,2009
SVK,2007,2020,-2.58551241733207,124.34683937059742,2008,2009
SVK,2007,2021,5.65585880655551,131.3797210358128,2008,2009
SVK,2007,2022,0.544591632137451,132.09520400289935,2008,2009
SVK,2007,2023,2.1126363321496,134.88589527569172,2008,2009
SVK,2007,2024,1.93867445549446,137.50089367146654,2008,2009
SVK,2007,2025,0.80741869014476,138.61110158608602,2008,2009
SVN,2007,2008,,100.0,2008,2009
SVN,2007,2009,-7.59058653473787,92.40941346526212,2008,2009
SVN,2007,2010,1.11213762782504,93.43713332406173,2008,2009
SVN,2007,2011,0.655438958189663,94.04955669728325,2008,2009
SVN,2007,2012,-2.91553858750771,91.30750558039401,2008,2009
SVN,2007,2013,-0.823777368518045,90.55533501366438,2008,2009
SVN,2007,2014,2.76283319601542,93.05722787018487,2008,2009
SVN,2007,2015,2.39330663899719,95.28437268286876,2008,2009
SVN,2007,2016,3.03441589079787,98.17569682900479,2008,2009
SVN,2007,2017,5.17440277397358,103.25570280909271,2008,2009
SVN,2007,2018,4.3790831902376,107.7773559337674,2008,2009
SVN,2007,2019,3.50525206828495,111.55522393177861,2008,2009
SVN,2007,2020,-4.08499980162852,106.9981932554592,2008,2009
SVN,2007,2021,8.41686299430883,116.004084588157,2008,2009
SVN,2007,2022,2.66850685812185,119.09966154109345,2008,2009
