shock_id,baseline_year,profile_code,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,countries,country_count,profile_digit_sum,mean_debt_capacity_score,mean_employment_strength_score,mean_rd_intensity_score,mean_human_capital_tertiary_score,mean_energy_security_score,node_id,main_variable_set,levels
2019,2019,2-3-5-3-2,2,3,5,3,2,AUT,1,15.0,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,2019__2-3-5-3-2,baseline_5_variables,5
2019,2019,4-4-1-1-5,4,4,1,1,5,ROU,1,15.0,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,2019__4-4-1-1-5,baseline_5_variables,5
2019,2019,1-3-5-4-1,1,3,5,4,1,BEL,1,14.0,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,2019__1-3-5-4-1,baseline_5_variables,5
2019,2019,2-5-3-2-2,2,5,3,2,2,HUN,1,14.0,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,2019__2-5-3-2-2,baseline_5_variables,5
2019,2019,4-2-1-3-3,4,2,1,3,3,LVA,1,13.0,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,2019__4-2-1-3-3,baseline_5_variables,5
2019,2019,4-2-1-4-2,4,2,1,4,2,LTU,1,13.0,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,2019__4-2-1-4-2,baseline_5_variables,5
2019,2019,1-1-4-3-3,1,1,4,3,3,FRA,1,12.0,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,2019__1-1-4-3-3,baseline_5_variables,5
2019,2019,3-1-1-1-5,3,1,1,1,5,ZAF,1,11.0,68.08881852175062,0.0,7.200551492704578,0.0,36.1103793762552,2019__3-1-1-1-5,baseline_5_variables,5
2019,2019,3-2-1-2-3,3,2,1,2,3,SVK,1,11.0,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,2019__3-2-1-2-3,baseline_5_variables,5
2019,2019,5-1-2-1-2,5,1,2,1,2,TUR,1,11.0,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,2019__5-1-2-1-2,baseline_5_variables,5
2019,2019,2-1-1-1-5,2,1,1,1,5,COL,1,10.0,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,2019__2-1-1-1-5,baseline_5_variables,5
2019,2019,2-2-2-1-3,2,2,2,1,3,HRV,1,10.0,64.46613088404133,82.85411622276028,18.685613976028822,21.70648555061525,15.208864633434748,2019__2-2-2-1-3,baseline_5_variables,5
2019,2019,1-2-3-2-1,1,2,3,2,1,PRT,1,9.0,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,2019__1-2-3-2-1,baseline_5_variables,5
2019,2019,2-1-2-3-1,2,1,2,3,1,ESP,1,9.0,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,2019__2-1-2-3-1,baseline_5_variables,5
2019,2019,1-1-2-2-1,1,1,2,2,1,GRC,1,7.0,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,2019__1-1-2-2-1,baseline_5_variables,5
2019,2019,1-1-3-1-1,1,1,3,1,1,ITA,1,7.0,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,2019__1-1-3-1-1,baseline_5_variables,5
