Country,years_available,min_year,max_year,mean_gdp_growth_pre_shock,median_gdp_growth_pre_shock,gdp_growth_volatility_sd,gdp_growth_min_pre_shock,gdp_growth_max_pre_shock,shock_id,shock_label,baseline_year,window_start,window_end,expected_year_count,min_required_years,coverage_rate,sufficient_window_coverage,gdp_growth_stability_score_0_100,volatility_feature_role
CHL,8,2012,2019,2.6441784049883195,1.972295985610145,1.7727013818773154,0.644223402672696,6.15534001856097,2019,COVID shock,2019,2012,2019,8,5,1.0,True,81.59657732763446,diagnostic_or_sensitivity_only_not_final_ordering
CHN,8,2012,2019,7.094101931311286,6.994257614222461,0.5763557769806262,6.1101203304619,7.86371979136207,2019,COVID shock,2019,2012,2019,8,5,1.0,True,97.45348120136588,diagnostic_or_sensitivity_only_not_final_ordering
COL,8,2012,2019,3.212435463531325,3.07137838386529,1.2549407008610707,1.35936086788746,5.13399351995671,2019,COVID shock,2019,2012,2019,8,5,1.0,True,88.45921076304654,diagnostic_or_sensitivity_only_not_final_ordering
CRI,8,2012,2019,3.4958734755494314,3.59709542273467,0.912521423277606,2.41751181741532,4.88259241028843,2019,COVID shock,2019,2012,2019,8,5,1.0,True,92.99779020608503,diagnostic_or_sensitivity_only_not_final_ordering
CZE,8,2012,2019,2.567750997996087,2.7055880109462,2.1257349119037903,-0.770668190622742,5.1735652996788,2019,COVID shock,2019,2012,2019,8,5,1.0,True,76.91731179857582,diagnostic_or_sensitivity_only_not_final_ordering
DEU,8,2012,2019,1.4796574114622838,1.3993510346731148,0.8773730747187579,0.396995583779144,2.797906720551,2019,COVID shock,2019,2012,2019,8,5,1.0,True,93.46366226022793,diagnostic_or_sensitivity_only_not_final_ordering
DNK,8,2012,2019,1.808823335890233,1.78570421470972,1.0000614903627427,-0.005432301616716,3.07304549209094,2019,COVID shock,2019,2012,2019,8,5,1.0,True,91.83749470018154,diagnostic_or_sensitivity_only_not_final_ordering
ESP,8,2012,2019,1.432088068133885,2.178294876602945,2.363745264000017,-2.86511368637748,4.06086672473868,2019,COVID shock,2019,2012,2019,8,5,1.0,True,73.76261531396864,diagnostic_or_sensitivity_only_not_final_ordering
EST,8,2012,2019,3.342936847525004,3.4974048634737898,1.2235135541417608,1.75649271905974,5.63467241347505,2019,COVID shock,2019,2012,2019,8,5,1.0,True,88.87576033075845,diagnostic_or_sensitivity_only_not_final_ordering
FIN,8,2012,2019,0.737984305886703,0.8297406238902205,1.696224084248481,-1.52284028499332,3.30337016113322,2019,COVID shock,2019,2012,2019,8,5,1.0,True,82.61024190086445,diagnostic_or_sensitivity_only_not_final_ordering
FRA,8,2012,2019,1.205897566235391,1.0322938475649344,0.6596235219271459,0.183835264973007,2.08361485997399,2019,COVID shock,2019,2012,2019,8,5,1.0,True,96.34981297874272,diagnostic_or_sensitivity_only_not_final_ordering
GBR,8,2012,2019,2.073085179700165,1.929437615587775,0.7039492341651006,1.25629901204221,3.16017349269262,2019,COVID shock,2019,2012,2019,8,5,1.0,True,95.7623000099024,diagnostic_or_sensitivity_only_not_final_ordering
