Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,recovery_years,recovery_status,target_flag
BEL,2019,2019,1-3-5-4-1,14.0,1,3,5,4,1,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,baseline_5_variables,5,2,False,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0188860435339308,0.0476952624839948,0.9334186939820742,0.0301003344481605,0.0074925074925074,1.0,recovered,False
BGR,2019,2019,5-4-1-2-4,16.0,5,4,1,2,4,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,baseline_5_variables,5,3,False,0.0303030303030303,0.0606060606060606,0.9090909090909092,0.0508962868117797,0.0252880921895006,0.9238156209987196,0.0060200668896321,0.0014985014985014,,,False
CAN,2019,2019,3-3-3-5-5,19.0,3,3,3,5,5,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,baseline_5_variables,5,1,True,0.2424242424242424,0.0,0.7575757575757576,0.2157490396927016,0.0083226632522407,0.7759282970550576,0.4053511705685618,0.1008991008991009,1.0,recovered,True
CHE,2019,2019,5-4-5-4-3,21.0,5,4,5,4,3,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,baseline_5_variables,5,1,True,0.4242424242424242,0.0,0.5757575757575758,0.3838028169014084,0.0035211267605633,0.6126760563380281,1.0,0.2489177489177489,1.0,recovered,False
COL,2019,2019,2-1-1-1-5,10.0,2,1,1,1,5,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,baseline_5_variables,5,4,False,0.0,0.1212121212121212,0.8787878787878788,0.0028809218950064,0.159731113956466,0.8373879641485276,0.0,0.0,1.0,recovered,False
CZE,2019,2019,5-5-4-1-4,19.0,5,5,4,1,4,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,baseline_5_variables,5,1,True,0.0909090909090909,0.0,0.9090909090909092,0.1277208706786171,0.0060819462227912,0.8661971830985915,0.1140468227424749,0.0283882783882783,2.0,recovered,False
DEU,2019,2019,3-5-5-2-2,17.0,3,5,5,2,2,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,baseline_5_variables,5,1,True,0.1212121212121212,0.0,0.8787878787878788,0.0957106274007682,0.0150448143405889,0.8892445582586428,0.1264214046822742,0.0314685314685314,2.0,recovered,True
DNK,2019,2019,4-3-4-3-4,18.0,4,3,4,3,4,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,baseline_5_variables,5,1,True,0.2727272727272727,0.0,0.7272727272727273,0.1840588988476312,0.0227272727272727,0.793213828425096,0.3444816053511705,0.0857475857475857,1.0,recovered,False
ESP,2019,2019,2-1-2-3-1,9.0,2,1,2,3,1,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,baseline_5_variables,5,3,False,0.0303030303030303,0.3939393939393939,0.5757575757575758,0.0035211267605633,0.3838028169014084,0.6126760563380281,0.0013377926421404,0.0003330003330003,2.0,recovered,False
EST,2019,2019,5-4-3-4-5,21.0,5,4,3,4,5,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,baseline_5_variables,5,1,True,0.4242424242424242,0.0,0.5757575757575758,0.3838028169014084,0.0035211267605633,0.6126760563380281,0.9250836120401338,0.2302697302697302,1.0,recovered,False
