target_country,shock_id,target_profile,incomparable_profile,incomparable_countries,incomparable_layer
DEU,2019,3-5-5-2-2,4-3-4-3-4,DNK,1
DEU,2019,3-5-5-2-2,3-4-4-4-2,NLD,2
DEU,2019,3-5-5-2-2,2-2-4-4-4,FIN,2
DEU,2019,3-5-5-2-2,3-4-2-5-2,IRL,1
DEU,2019,3-5-5-2-2,4-5-2-2-3,POL,1
DEU,2019,3-5-5-2-2,5-3-2-5-1,LUX,1
DEU,2019,3-5-5-2-2,5-4-1-2-4,BGR,3
DEU,2019,3-5-5-2-2,2-3-4-3-3,SVN,2
DEU,2019,3-5-5-2-2,2-3-5-3-2,AUT,2
DEU,2019,3-5-5-2-2,4-4-1-1-5,ROU,2
DEU,2019,3-5-5-2-2,1-3-5-4-1,BEL,2
DEU,2019,3-5-5-2-2,4-2-1-3-3,LVA,3
DEU,2019,3-5-5-2-2,4-2-1-4-2,LTU,2
DEU,2019,3-5-5-2-2,1-1-4-3-3,FRA,3
DEU,2019,3-5-5-2-2,3-1-1-1-5,ZAF,3
DEU,2019,3-5-5-2-2,3-2-1-2-3,SVK,4
DEU,2019,3-5-5-2-2,5-1-2-1-2,TUR,3
DEU,2019,3-5-5-2-2,2-1-1-1-5,COL,4
DEU,2019,3-5-5-2-2,2-2-2-1-3,HRV,3
DEU,2019,3-5-5-2-2,2-1-2-3-1,ESP,3
FRA,2019,1-1-4-3-3,5-4-3-4-5,EST,1
FRA,2019,1-1-4-3-3,4-5-5-5-1,KOR,1
FRA,2019,1-1-4-3-3,3-3-3-5-5,"AUS, CAN",1
FRA,2019,1-1-4-3-3,5-4-3-3-4,NZL,2
FRA,2019,1-1-4-3-3,5-5-4-1-4,CZE,1
FRA,2019,1-1-4-3-3,3-4-4-4-2,NLD,2
FRA,2019,1-1-4-3-3,3-5-5-2-2,DEU,1
FRA,2019,1-1-4-3-3,3-4-2-5-2,IRL,1
FRA,2019,1-1-4-3-3,4-5-2-2-3,POL,1
FRA,2019,1-1-4-3-3,5-3-2-5-1,LUX,1
FRA,2019,1-1-4-3-3,5-4-1-2-4,BGR,3
FRA,2019,1-1-4-3-3,2-3-5-3-2,AUT,2
FRA,2019,1-1-4-3-3,4-4-1-1-5,ROU,2
FRA,2019,1-1-4-3-3,1-3-5-4-1,BEL,2
FRA,2019,1-1-4-3-3,2-5-3-2-2,HUN,2
FRA,2019,1-1-4-3-3,4-2-1-3-3,LVA,3
FRA,2019,1-1-4-3-3,4-2-1-4-2,LTU,2
FRA,2019,1-1-4-3-3,3-1-1-1-5,ZAF,3
FRA,2019,1-1-4-3-3,3-2-1-2-3,SVK,4
FRA,2019,1-1-4-3-3,5-1-2-1-2,TUR,3
FRA,2019,1-1-4-3-3,2-1-1-1-5,COL,4
FRA,2019,1-1-4-3-3,2-2-2-1-3,HRV,3
FRA,2019,1-1-4-3-3,1-2-3-2-1,PRT,3
FRA,2019,1-1-4-3-3,2-1-2-3-1,ESP,3
ITA,2019,1-1-3-1-1,3-4-2-5-2,IRL,1
ITA,2019,1-1-3-1-1,4-5-2-2-3,POL,1
ITA,2019,1-1-3-1-1,5-3-2-5-1,LUX,1
ITA,2019,1-1-3-1-1,5-4-1-2-4,BGR,3
ITA,2019,1-1-3-1-1,4-4-1-1-5,ROU,2
ITA,2019,1-1-3-1-1,4-2-1-3-3,LVA,3
ITA,2019,1-1-3-1-1,4-2-1-4-2,LTU,2
ITA,2019,1-1-3-1-1,3-1-1-1-5,ZAF,3
ITA,2019,1-1-3-1-1,3-2-1-2-3,SVK,4
ITA,2019,1-1-3-1-1,5-1-2-1-2,TUR,3
ITA,2019,1-1-3-1-1,2-1-1-1-5,COL,4
ITA,2019,1-1-3-1-1,2-2-2-1-3,HRV,3
ITA,2019,1-1-3-1-1,2-1-2-3-1,ESP,3
ITA,2019,1-1-3-1-1,1-1-2-2-1,GRC,4
USA,2019,1-5-5-5-5,5-4-3-4-5,EST,1
USA,2019,1-5-5-5-5,5-4-5-4-3,CHE,1
USA,2019,1-5-5-5-5,4-5-5-5-1,KOR,1
USA,2019,1-5-5-5-5,3-3-3-5-5,"AUS, CAN",1
USA,2019,1-5-5-5-5,4-2-5-4-4,SWE,1
USA,2019,1-5-5-5-5,5-4-3-3-4,NZL,2
USA,2019,1-5-5-5-5,5-5-4-1-4,CZE,1
USA,2019,1-5-5-5-5,4-3-4-3-4,DNK,1
USA,2019,1-5-5-5-5,3-4-4-4-2,NLD,2
USA,2019,1-5-5-5-5,3-5-5-2-2,DEU,1
USA,2019,1-5-5-5-5,2-2-4-4-4,FIN,2
USA,2019,1-5-5-5-5,3-4-2-5-2,IRL,1
USA,2019,1-5-5-5-5,4-5-2-2-3,POL,1
USA,2019,1-5-5-5-5,5-3-2-5-1,LUX,1
USA,2019,1-5-5-5-5,5-4-1-2-4,BGR,3
USA,2019,1-5-5-5-5,2-3-4-3-3,SVN,2
USA,2019,1-5-5-5-5,2-3-5-3-2,AUT,2
USA,2019,1-5-5-5-5,4-4-1-1-5,ROU,2
USA,2019,1-5-5-5-5,2-5-3-2-2,HUN,2
