year,country,Governance score (0-100)
2003,JPN,75.8499397
2003,LTU,70.0826805
2003,LUX,83.0203366
2003,LVA,68.3918298
2003,MEX,62.790209
2003,MLT,78.10292129999999
2003,NLD,86.1603094
2003,NOR,85.92353399999999
2003,NZL,84.0280284
2003,POL,74.01904979999999
2003,PRT,81.9153625
2003,ROU,60.0732346
2003,RUS,49.591482299999996
2003,SAU,24.786305499999997
2003,SGP,59.1176215
2003,SVK,71.9245567
2003,SVN,74.6632307
2003,SWE,86.89591449999999
2003,TUR,55.6602848
2003,USA,80.1606067
2003,ZAF,67.1723772
2004,ARG,65.2542794
2004,AUS,81.3567425
2004,AUT,80.74418519999999
2004,BEL,82.2753887
2004,BGR,65.05206609999999
2004,BRA,65.1251758
2004,CAN,84.3936957
2004,CHE,84.9038652
2004,CHL,77.1221431
2004,CHN,29.594015199999998
2004,COL,52.5017296
2004,CRI,75.2066007
2004,CYP,72.9328051
2004,CZE,71.4989749
2004,DEU,82.706587
2004,DNK,87.2407083
2004,ESP,78.4131214
2004,EST,75.05474559999999
2004,FIN,86.9487283
2004,FRA,79.1033636
2004,GBR,82.0252309
2004,GRC,76.9149504
2004,HRV,68.5186161
2004,HUN,74.53205129999999
2004,IDN,53.436177
2004,IND,62.897726799999994
2004,IRL,80.34311559999999
2004,ISL,83.1774705
2004,ISR,66.63886099999999
2004,ITA,73.5031272
2004,JPN,74.3857427
2004,LTU,69.6700716
2004,LUX,83.6513801
2004,LVA,65.7567356
2004,MEX,64.4013061
2004,MLT,77.397347
2004,NLD,85.6411383
2004,NOR,84.1365053
2004,NZL,83.40349239999999
2004,PER,58.2679316
2004,POL,72.1425065
2004,PRT,80.6387432
2004,ROU,62.1578738
2004,RUS,49.266585299999996
2004,SAU,29.267388999999998
2004,SGP,55.1291368
2004,SVK,71.4456886
2004,SVN,73.8315772
2004,SWE,86.45823329999999
2004,TUR,57.7311093
2004,USA,78.6270124
2004,ZAF,68.3766587
2005,ARG,65.790841
2005,AUS,84.25420079999999
2005,AUT,80.0224823
2005,BEL,83.669861
2005,BGR,67.2681893
2005,BRA,67.04265219999999
2005,CAN,83.2300654
2005,CHE,85.0663041
2005,CHL,79.7501348
2005,CHN,30.995604099999998
2005,COL,52.6690307
2005,CRI,74.7613356
2005,CYP,75.26264019999999
2005,CZE,73.74279229999999
2005,DEU,84.29951299999999
2005,DNK,86.79459779999999
2005,ESP,78.09921949999999
2005,EST,75.2783591
2005,FIN,86.56154169999999
2005,FRA,83.1881592
2005,GBR,82.16116219999999
2005,GRC,77.0494238
2005,HRV,68.2006694
2005,HUN,76.9193593
2005,IDN,55.1948551
2005,IND,64.37270529999999
2005,IRL,84.9427522
2005,ISL,84.4697072
2005,ISR,66.9237246
2005,ITA,74.48743569999999
2005,JPN,75.4073595
2005,LTU,71.18899189999999
2005,LUX,82.2156614
2005,LVA,69.0379517
2005,MEX,64.4242694
2005,MLT,78.87449579999999
2005,NLD,86.5210567
2005,NOR,86.9235964
2005,NZL,84.9240368
2005,PER,59.6887487
2005,POL,74.8511706
2005,PRT,81.3619198
2005,ROU,64.51572689999999
2005,RUS,49.6020608
2005,SAU,28.8351686
2005,SGP,57.7980686
2005,SVK,73.0808026
2005,SVN,74.9376855
2005,SWE,85.99710569999999
2005,TUR,58.7754006
2005,USA,80.12839509999999
2005,ZAF,68.73866269999999
2006,ARG,65.76930589999999
2006,AUS,84.2800468
2006,AUT,84.8523046
2006,BEL,83.63374809999999
2006,BGR,68.8405009
2006,BRA,67.43825919999999
