shock_id,baseline_year,epsilon,dominating_country,dominated_country
2007,2007,0.15,CZE,POL
2007,2007,0.15,CZE,PRT
2007,2007,0.15,CZE,SVK
2007,2007,0.15,DEU,FRA
2007,2007,0.15,DEU,GRC
2007,2007,0.15,DEU,PRT
2007,2007,0.15,DNK,AUT
2007,2007,0.15,DNK,BEL
2007,2007,0.15,DNK,CZE
2007,2007,0.15,DNK,DEU
2007,2007,0.15,DNK,ESP
2007,2007,0.15,DNK,FRA
2007,2007,0.15,DNK,GBR
2007,2007,0.15,DNK,GRC
2007,2007,0.15,DNK,HUN
2007,2007,0.15,DNK,IRL
2007,2007,0.15,DNK,ITA
2007,2007,0.15,DNK,LTU
2007,2007,0.15,DNK,NLD
2007,2007,0.15,DNK,POL
2007,2007,0.15,DNK,PRT
2007,2007,0.15,DNK,SVK
2007,2007,0.15,DNK,SVN
2007,2007,0.15,ESP,GRC
2007,2007,0.15,ESP,PRT
2007,2007,0.15,ESP,SVK
2007,2007,0.15,EST,CZE
2007,2007,0.15,EST,ESP
2007,2007,0.15,EST,GRC
2007,2007,0.15,EST,HUN
2007,2007,0.15,EST,IRL
2007,2007,0.15,EST,ITA
2007,2007,0.15,EST,LTU
2007,2007,0.15,EST,LVA
2007,2007,0.15,EST,POL
2007,2007,0.15,EST,PRT
2007,2007,0.15,EST,SVK
2007,2007,0.15,EST,SVN
2007,2007,0.15,FIN,BEL
2007,2007,0.15,FIN,DEU
2007,2007,0.15,FIN,ESP
2007,2007,0.15,FIN,FRA
2007,2007,0.15,FIN,GRC
2007,2007,0.15,FIN,HUN
2007,2007,0.15,FIN,ITA
2007,2007,0.15,FIN,PRT
2007,2007,0.15,FIN,SVK
2007,2007,0.15,FIN,SWE
2007,2007,0.15,FRA,DEU
2007,2007,0.15,FRA,GRC
2007,2007,0.15,FRA,HUN
2007,2007,0.15,FRA,PRT
2007,2007,0.15,GBR,BEL
2007,2007,0.15,GBR,GRC
2007,2007,0.15,GBR,ITA
2007,2007,0.15,HUN,GRC
2007,2007,0.15,HUN,PRT
2007,2007,0.15,IRL,ESP
2007,2007,0.15,IRL,GRC
2007,2007,0.15,IRL,ITA
2007,2007,0.15,IRL,PRT
2007,2007,0.15,LTU,GRC
2007,2007,0.15,LTU,HUN
2007,2007,0.15,LTU,IRL
2007,2007,0.15,LTU,ITA
2007,2007,0.15,LTU,LVA
2007,2007,0.15,LTU,PRT
2007,2007,0.15,LTU,SVK
2007,2007,0.15,LUX,ESP
2007,2007,0.15,LUX,ITA
2007,2007,0.15,LUX,PRT
2007,2007,0.15,LVA,GRC
2007,2007,0.15,LVA,HUN
2007,2007,0.15,LVA,SVK
2007,2007,0.15,NLD,BEL
2007,2007,0.15,NLD,ESP
2007,2007,0.15,NLD,FRA
2007,2007,0.15,NLD,GRC
2007,2007,0.15,NLD,HUN
2007,2007,0.15,NLD,ITA
2007,2007,0.15,NLD,POL
2007,2007,0.15,NLD,PRT
2007,2007,0.15,NLD,SVK
2007,2007,0.15,POL,SVK
2007,2007,0.15,SVN,GRC
2007,2007,0.15,SVN,HUN
2007,2007,0.15,SVN,ITA
2007,2007,0.15,SVN,LUX
2007,2007,0.15,SVN,LVA
2007,2007,0.15,SVN,PRT
2007,2007,0.15,SVN,SVK
2007,2007,0.15,SWE,BEL
2007,2007,0.15,SWE,CZE
2007,2007,0.15,SWE,DEU
2007,2007,0.15,SWE,ESP
2007,2007,0.15,SWE,FIN
2007,2007,0.15,SWE,FRA
2007,2007,0.15,SWE,GBR
2007,2007,0.15,SWE,GRC
2007,2007,0.15,SWE,HUN
2007,2007,0.15,SWE,ITA
2007,2007,0.15,SWE,POL
2007,2007,0.15,SWE,PRT
2007,2007,0.15,SWE,SVK
2007,2007,0.15,USA,AUT
2007,2007,0.15,USA,BEL
2007,2007,0.15,USA,DEU
2007,2007,0.15,USA,FRA
2007,2007,0.15,USA,GBR
2007,2007,0.15,USA,GRC
2007,2007,0.15,USA,HUN
2007,2007,0.15,USA,ITA
2007,2007,0.15,USA,NLD
2007,2007,0.15,USA,POL
2007,2007,0.15,USA,PRT
2007,2007,0.2,AUT,DEU
2007,2007,0.2,AUT,FRA
2007,2007,0.2,AUT,GRC
2007,2007,0.2,AUT,HUN
2007,2007,0.2,AUT,ITA
2007,2007,0.2,AUT,PRT
2007,2007,0.2,BEL,GRC
2007,2007,0.2,BEL,ITA
2007,2007,0.2,BEL,PRT
2007,2007,0.2,CAN,AUT
2007,2007,0.2,CAN,BEL
2007,2007,0.2,CAN,CZE
2007,2007,0.2,CAN,DEU
2007,2007,0.2,CAN,ESP
2007,2007,0.2,CAN,FRA
2007,2007,0.2,CAN,GBR
2007,2007,0.2,CAN,GRC
2007,2007,0.2,CAN,HUN
2007,2007,0.2,CAN,IRL
2007,2007,0.2,CAN,ITA
2007,2007,0.2,CAN,POL
2007,2007,0.2,CAN,PRT
2007,2007,0.2,CAN,SVK
2007,2007,0.2,CAN,SVN
2007,2007,0.2,CZE,HUN
2007,2007,0.2,CZE,ITA
2007,2007,0.2,CZE,POL
2007,2007,0.2,CZE,PRT
2007,2007,0.2,CZE,SVK
2007,2007,0.2,DEU,FRA
2007,2007,0.2,DEU,GRC
2007,2007,0.2,DEU,HUN
2007,2007,0.2,DEU,PRT
2007,2007,0.2,DNK,AUT
2007,2007,0.2,DNK,BEL
2007,2007,0.2,DNK,CZE
2007,2007,0.2,DNK,DEU
2007,2007,0.2,DNK,ESP
2007,2007,0.2,DNK,FRA
2007,2007,0.2,DNK,GBR
2007,2007,0.2,DNK,GRC
2007,2007,0.2,DNK,HUN
2007,2007,0.2,DNK,IRL
2007,2007,0.2,DNK,ITA
2007,2007,0.2,DNK,LTU
2007,2007,0.2,DNK,NLD
2007,2007,0.2,DNK,POL
2007,2007,0.2,DNK,PRT
2007,2007,0.2,DNK,SVK
2007,2007,0.2,DNK,SVN
2007,2007,0.2,ESP,GRC
2007,2007,0.2,ESP,HUN
2007,2007,0.2,ESP,PRT
2007,2007,0.2,ESP,SVK
2007,2007,0.2,EST,CZE
2007,2007,0.2,EST,ESP
2007,2007,0.2,EST,GBR
