shock_id,baseline_year,profile_code,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,countries,country_count,profile_digit_sum,mean_debt_capacity_score,mean_employment_strength_score,mean_rd_intensity_score,mean_human_capital_tertiary_score,mean_energy_security_score,node_id,main_variable_set,levels,layer,is_pareto_frontier,variable_count,profile_levels,full_profile_space_size,observed_dominates_count,observed_dominated_by_count,observed_incomparable_with_count,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_raw,embedded_dominated_by_raw,embedded_incomparability_raw,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_raw,observed_separation_score_normalized,embedded_separation_score_normalized,score_role
2019,2019,4-2-5-4-4,4,2,5,4,4,SWE,1,19.0,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,2019__4-2-5-4-4,baseline_5_variables,5,1,True,5,5,3125,10,0,23,0.30303030303030304,0.0,0.696969696969697,639.0,31.0,2454.0,0.20454545454545456,0.009923175416133162,0.7855313700384123,1365.0,0.45652173913043476,0.11363636363636363,diagnostic_poset_score_not_index
2019,2019,5-4-3-3-4,5,4,3,3,4,NZL,1,19.0,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,2019__5-4-3-3-4,baseline_5_variables,5,2,False,5,5,3125,9,1,23,0.2727272727272727,0.030303030303030304,0.696969696969697,719.0,35.0,2370.0,0.23015364916773368,0.01120358514724712,0.7586427656850192,1174.0,0.39264214046822743,0.09773559773559773,diagnostic_poset_score_not_index
2019,2019,5-5-4-1-4,5,5,4,1,4,CZE,1,19.0,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,2019__5-5-4-1-4,baseline_5_variables,5,1,True,5,5,3125,3,0,30,0.09090909090909091,0.0,0.9090909090909091,399.0,19.0,2706.0,0.12772087067861715,0.006081946222791294,0.8661971830985915,341.0,0.11404682274247492,0.028388278388278388,diagnostic_poset_score_not_index
2019,2019,4-3-4-3-4,4,3,4,3,4,DNK,1,18.0,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,2019__4-3-4-3-4,baseline_5_variables,5,1,True,5,5,3125,9,0,24,0.2727272727272727,0.0,0.7272727272727273,575.0,71.0,2478.0,0.18405889884763124,0.022727272727272728,0.793213828425096,1030.0,0.34448160535117056,0.08574758574758574,diagnostic_poset_score_not_index
2019,2019,3-4-4-4-2,3,4,4,4,2,NLD,1,17.0,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,2019__3-4-4-4-2,baseline_5_variables,5,2,False,5,5,3125,4,1,28,0.12121212121212122,0.030303030303030304,0.8484848484848485,383.0,95.0,2646.0,0.12259923175416133,0.030409731113956465,0.8469910371318822,612.0,0.20468227424749164,0.05094905094905095,diagnostic_poset_score_not_index
2019,2019,3-5-5-2-2,3,5,5,2,2,DEU,1,17.0,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,2019__3-5-5-2-2,baseline_5_variables,5,1,True,5,5,3125,4,0,29,0.12121212121212122,0.0,0.8787878787878788,299.0,47.0,2778.0,0.09571062740076824,0.015044814340588988,0.8892445582586428,378.0,0.12642140468227425,0.03146853146853147,diagnostic_poset_score_not_index
2019,2019,2-2-4-4-4,2,2,4,4,4,FIN,1,16.0,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,2019__2-2-4-4-4,baseline_5_variables,5,2,False,5,5,3125,6,1,26,0.18181818181818182,0.030303030303030304,0.7878787878787878,255.0,127.0,2742.0,0.08162612035851473,0.040653008962868116,0.8777208706786171,408.0,0.13645484949832776,0.03396603396603397,diagnostic_poset_score_not_index
2019,2019,3-4-2-5-2,3,4,2,5,2,IRL,1,16.0,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,2019__3-4-2-5-2,baseline_5_variables,5,1,True,5,5,3125,2,0,31,0.06060606060606061,0.0,0.9393939393939394,239.0,95.0,2790.0,0.0765044814340589,0.030409731113956465,0.8930857874519846,144.0,0.048160535117056855,0.011988011988011988,diagnostic_poset_score_not_index
2019,2019,4-5-2-2-3,4,5,2,2,3,POL,1,16.0,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,2019__4-5-2-2-3,baseline_5_variables,5,1,True,5,5,3125,3,0,30,0.09090909090909091,0.0,0.9090909090909091,239.0,95.0,2790.0,0.0765044814340589,0.030409731113956465,0.8930857874519846,100.0,0.033444816053511704,0.008325008325008326,diagnostic_poset_score_not_index
2019,2019,5-3-2-5-1,5,3,2,5,1,LUX,1,16.0,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,2019__5-3-2-5-1,baseline_5_variables,5,1,True,5,5,3125,2,0,31,0.06060606060606061,0.0,0.9393939393939394,149.0,59.0,2916.0,0.04769526248399488,0.01888604353393086,0.9334186939820742,96.0,0.032107023411371234,0.007992007992007992,diagnostic_poset_score_not_index
