Country,Year,gdp_growth,shock_id,window_start,window_end
LVA,2004,8.72514341727928,2007,2002,2007
LVA,2005,11.6153178557457,2007,2002,2007
LVA,2006,12.825017846905,2007,2002,2007
LVA,2007,10.4145372792714,2007,2002,2007
MEX,2002,-0.236587996336347,2007,2002,2007
MEX,2003,1.18554491252096,2007,2002,2007
MEX,2004,3.56544100288568,2007,2002,2007
MEX,2005,2.11324709843557,2007,2002,2007
MEX,2006,4.80501355413649,2007,2002,2007
MEX,2007,2.07786392388734,2007,2002,2007
NLD,2002,0.245829467625559,2007,2002,2007
NLD,2003,0.097854856489369,2007,2002,2007
NLD,2004,2.01628338388151,2007,2002,2007
NLD,2005,2.03401571621339,2007,2002,2007
NLD,2006,3.53729584771905,2007,2002,2007
NLD,2007,3.88542358248021,2007,2002,2007
NOR,2002,1.45747887335204,2007,2002,2007
NOR,2003,1.09635781941971,2007,2002,2007
NOR,2004,4.33015597852733,2007,2002,2007
NOR,2005,2.96973595540036,2007,2002,2007
NOR,2006,2.84726376588036,2007,2002,2007
NOR,2007,3.42030120407555,2007,2002,2007
NZL,2002,5.03797727124646,2007,2002,2007
NZL,2003,4.68447569272194,2007,2002,2007
NZL,2004,3.21185976587465,2007,2002,2007
NZL,2005,3.20587013659529,2007,2002,2007
NZL,2006,2.30948447834989,2007,2002,2007
NZL,2007,3.78784798344428,2007,2002,2007
POL,2002,1.90119438935371,2007,2002,2007
POL,2003,3.52336952198015,2007,2002,2007
POL,2004,5.09080047979034,2007,2002,2007
POL,2005,3.26082285757364,2007,2002,2007
POL,2006,6.2021027517122,2007,2002,2007
POL,2007,6.76045126044817,2007,2002,2007
PRT,2002,0.770924503605219,2007,2002,2007
PRT,2003,-0.930520921213726,2007,2002,2007
PRT,2004,1.78873550358164,2007,2002,2007
PRT,2005,0.781847678783943,2007,2002,2007
PRT,2006,1.62503510217452,2007,2002,2007
PRT,2007,2.50657937732592,2007,2002,2007
RUS,2002,4.74378268150322,2007,2002,2007
RUS,2003,7.29585441032511,2007,2002,2007
RUS,2004,7.17594930794187,2007,2002,2007
RUS,2005,6.37618701824244,2007,2002,2007
RUS,2006,8.15343183402539,2007,2002,2007
RUS,2007,8.53508018556642,2007,2002,2007
SVK,2002,4.41725348271514,2007,2002,2007
SVK,2003,4.8566985159132,2007,2002,2007
SVK,2004,5.38949856996771,2007,2002,2007
SVK,2005,6.48493222274387,2007,2002,2007
SVK,2006,8.92568704770217,2007,2002,2007
SVK,2007,10.8186295074903,2007,2002,2007
SVN,2002,3.28258384299981,2007,2002,2007
SVN,2003,3.19503108090833,2007,2002,2007
SVN,2004,4.54602218443133,2007,2002,2007
SVN,2005,3.85412625073891,2007,2002,2007
SVN,2006,5.9087819094898,2007,2002,2007
SVN,2007,7.13923237939151,2007,2002,2007
SWE,2002,2.27772867861897,2007,2002,2007
SWE,2003,1.88102769675844,2007,2002,2007
SWE,2004,4.17958419343711,2007,2002,2007
SWE,2005,2.79313782840156,2007,2002,2007
SWE,2006,4.67607488877993,2007,2002,2007
SWE,2007,3.22486814096095,2007,2002,2007
TUR,2002,6.43550885788585,2007,2002,2007
TUR,2003,5.79909330898584,2007,2002,2007
TUR,2004,9.92540547829595,2007,2002,2007
TUR,2005,9.11157741315655,2007,2002,2007
TUR,2006,7.06762604802989,2007,2002,2007
TUR,2007,5.10818522274506,2007,2002,2007
USA,2002,1.7004473278454,2007,2002,2007
USA,2003,2.79560596521232,2007,2002,2007
USA,2004,3.84777169424154,2007,2002,2007
USA,2005,3.48354993544559,2007,2002,2007
USA,2006,2.78453963817891,2007,2002,2007
USA,2007,2.00385829909157,2007,2002,2007
ZAF,2002,3.70037440342497,2007,2002,2007
ZAF,2003,2.94907546691197,2007,2002,2007
ZAF,2004,4.55455990679541,2007,2002,2007
ZAF,2005,5.27705197433704,2007,2002,2007
ZAF,2006,5.6038064578302,2007,2002,2007
ZAF,2007,5.3604740546232,2007,2002,2007
AUS,2012,2.65445302592405,2019,2012,2019
AUS,2013,2.60118978187332,2019,2012,2019
AUS,2014,2.16434780647853,2019,2012,2019
AUS,2015,2.75564065529868,2019,2012,2019
AUS,2016,2.29331030192918,2019,2012,2019
AUS,2017,2.87417039499501,2019,2012,2019
AUS,2018,2.19401703622718,2019,2012,2019
AUS,2019,-0.133531904304771,2019,2012,2019
AUT,2012,0.628246220372857,2019,2012,2019
AUT,2013,-0.250726440079771,2019,2012,2019
AUT,2014,0.755798904851364,2019,2012,2019
AUT,2015,1.30352326671129,2019,2012,2019
AUT,2016,2.117219630253,2019,2012,2019
AUT,2017,2.27224997423621,2019,2012,2019
AUT,2018,2.48422109586319,2019,2012,2019
AUT,2019,1.75497626702115,2019,2012,2019
BEL,2012,0.215803612089753,2019,2012,2019
BEL,2013,0.305494549070219,2019,2012,2019
BEL,2014,1.76554038149922,2019,2012,2019
BEL,2015,1.47416433731927,2019,2012,2019
BEL,2016,1.19350273007754,2019,2012,2019
BEL,2017,1.47446761556784,2019,2012,2019
BEL,2018,1.87796847383565,2019,2012,2019
BEL,2019,2.44289004481559,2019,2012,2019
BRA,2012,1.92117598510397,2019,2012,2019
BRA,2013,3.0048226702726,2019,2012,2019
BRA,2014,0.503955740308835,2019,2012,2019
BRA,2015,-3.54576339346129,2019,2012,2019
BRA,2016,-3.27591690632862,2019,2012,2019
