Country,shock_id,shock_label,status,first_negative_year,dynamic_baseline_year,baseline_gdp_index,recovery_year,recovery_years,final_available_year,final_gdp_index,not_recovered_value_used,shock_window_growth_values,note
LTU,2019,COVID shock,no_negative_growth_in_shock_window,,2019.0,100.0,2020.0,0.0,2025,,0.0,"{2020: 0.042814984430944, 2021: 6.3948169637992}",No negative GDP growth observed in shock window; assigned recovery value 0.
LUX,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,106.37341458385096,,"{2020: -0.510052266643745, 2021: 6.92973308234224}",GDP index returned to dynamic pre-shock baseline.
LVA,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,106.40056911006293,,"{2020: -3.46922750780554, 2021: 6.94254173062591}",GDP index returned to dynamic pre-shock baseline.
MEX,2019,COVID shock,recovered,2020.0,2019.0,100.0,2022.0,2.0,2025,105.92134392877935,,"{2020: -8.35403459655553, 2021: 6.04848344372723}",GDP index returned to dynamic pre-shock baseline.
NLD,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,109.70884021965333,,"{2020: -3.86799717641019, 2021: 6.27683592921156}",GDP index returned to dynamic pre-shock baseline.
NOR,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,110.00356499413617,,"{2020: -1.36055724136171, 2021: 4.14314688956676}",GDP index returned to dynamic pre-shock baseline.
NZL,2019,COVID shock,no_negative_growth_in_shock_window,,2019.0,100.0,2020.0,0.0,2025,,0.0,"{2020: 0.20137027731347, 2021: 4.38121051766326}",No negative GDP growth observed in shock window; assigned recovery value 0.
POL,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,118.26657219485682,,"{2020: -2.03556623177296, 2021: 6.92718170695528}",GDP index returned to dynamic pre-shock baseline.
PRT,2019,COVID shock,recovered,2020.0,2019.0,100.0,2022.0,2.0,2025,111.281076891137,,"{2020: -8.20463158755973, 2021: 5.55875648640731}",GDP index returned to dynamic pre-shock baseline.
RUS,2019,COVID shock,no_shock_window_data,,,,,,2019,,,"{2020: nan, 2021: nan}",No GDP growth value available in the shock-window years.
SVK,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,108.58924523231995,,"{2020: -2.58551241733207, 2021: 5.65585880655551}",GDP index returned to dynamic pre-shock baseline.
SVN,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,112.37043559591726,,"{2020: -4.08499980162852, 2021: 8.41686299430883}",GDP index returned to dynamic pre-shock baseline.
SWE,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,107.95266941265191,,"{2020: -1.93379704032216, 2021: 5.2258643028773}",GDP index returned to dynamic pre-shock baseline.
TUR,2019,COVID shock,no_negative_growth_in_shock_window,,2019.0,100.0,2020.0,0.0,2025,,0.0,"{2020: 1.80306249954635, 2021: 11.8110944853985}",No negative GDP growth observed in shock window; assigned recovery value 0.
USA,2019,COVID shock,recovered,2020.0,2019.0,100.0,2021.0,1.0,2025,115.19443420394155,,"{2020: -2.08137597860093, 2021: 6.15202248021889}",GDP index returned to dynamic pre-shock baseline.
ZAF,2019,COVID shock,recovered,2020.0,2019.0,100.0,2022.0,2.0,2025,102.9001566842572,,"{2020: -6.1689177132215, 2021: 4.85864864891566}",GDP index returned to dynamic pre-shock baseline.
