Country,shock_id,baseline_year,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,debt_capacity_level_3,employment_strength_level_3,rd_intensity_level_3,human_capital_tertiary_level_3,energy_security_level_3,profile_code_3levels,profile_digit_sum_3levels,levels,debt_capacity_level_4,employment_strength_level_4,rd_intensity_level_4,human_capital_tertiary_level_4,energy_security_level_4,profile_code_4levels,profile_digit_sum_4levels,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,profile_code_5levels,profile_digit_sum_5levels
AUT,2019,2019,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,1.0,2.0,3.0,2.0,1.0,1-2-3-2-1,9.0,3,,,,,,,,,,,,,,
BEL,2019,2019,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,1.0,2.0,3.0,2.0,1.0,1-2-3-2-1,9.0,3,,,,,,,,,,,,,,
BGR,2019,2019,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,3.0,3.0,1.0,1.0,3.0,3-3-1-1-3,11.0,3,,,,,,,,,,,,,,
CAN,2019,2019,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,2.0,2.0,2.0,3.0,3.0,2-2-2-3-3,12.0,3,,,,,,,,,,,,,,
CHE,2019,2019,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,3.0,3.0,3.0,3.0,2.0,3-3-3-3-2,14.0,3,,,,,,,,,,,,,,
COL,2019,2019,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,1.0,1.0,1.0,1.0,3.0,1-1-1-1-3,7.0,3,,,,,,,,,,,,,,
CZE,2019,2019,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,3.0,3.0,2.0,1.0,3.0,3-3-2-1-3,12.0,3,,,,,,,,,,,,,,
DEU,2019,2019,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,2.0,3.0,3.0,1.0,2.0,2-3-3-1-2,11.0,3,,,,,,,,,,,,,,
DNK,2019,2019,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,2.0,2.0,3.0,2.0,2.0,2-2-3-2-2,11.0,3,,,,,,,,,,,,,,
ESP,2019,2019,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,1.0,1.0,1.0,2.0,1.0,1-1-1-2-1,6.0,3,,,,,,,,,,,,,,
EST,2019,2019,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,3.0,2.0,2.0,3.0,3.0,3-2-2-3-3,13.0,3,,,,,,,,,,,,,,
FIN,2019,2019,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,2.0,1.0,3.0,3.0,2.0,2-1-3-3-2,11.0,3,,,,,,,,,,,,,,
FRA,2019,2019,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,1.0,1.0,3.0,2.0,2.0,1-1-3-2-2,9.0,3,,,,,,,,,,,,,,
GBR,2019,2019,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,1.0,3.0,3.0,3.0,3.0,1-3-3-3-3,13.0,3,,,,,,,,,,,,,,
GRC,2019,2019,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,1.0,1.0,1.0,2.0,1.0,1-1-1-2-1,6.0,3,,,,,,,,,,,,,,
HRV,2019,2019,64.46613088404133,82.85411622276028,18.685613976028822,21.706485550615252,15.208864633434748,1.0,1.0,1.0,1.0,2.0,1-1-1-1-2,6.0,3,,,,,,,,,,,,,,
HUN,2019,2019,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,2.0,3.0,2.0,1.0,2.0,2-3-2-1-2,10.0,3,,,,,,,,,,,,,,
IRL,2019,2019,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,2.0,3.0,1.0,3.0,1.0,2-3-1-3-1,10.0,3,,,,,,,,,,,,,,
ITA,2019,2019,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,1.0,1.0,2.0,1.0,1.0,1-1-2-1-1,6.0,3,,,,,,,,,,,,,,
KOR,2019,2019,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,3.0,3.0,3.0,3.0,1.0,3-3-3-3-1,13.0,3,,,,,,,,,,,,,,
