Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels
LUX,2007,2007,5-5-3-3-1,17.0,5,5,3,3,1,95.8291956305859,90.9828556471666,38.90454762117885,37.37941988145978,0.0,baseline_5_variables,5
LVA,2007,2007,5-3-1-2-2,13.0,5,3,1,2,2,95.03475670307844,64.97840596780526,4.648322921366291,24.86420354967548,25.27507708313845,baseline_5_variables,5
NLD,2007,2007,3-5-4-4-4,20.0,3,5,4,4,4,61.37040714995036,89.80499934563537,41.98347549644867,49.78073136937666,36.96642739992762,baseline_5_variables,5
POL,2007,2007,3-1-1-2-4,11.0,3,1,1,2,4,59.78152929493545,18.49234393404005,3.933981317598306,14.76847175187326,50.03416432123203,baseline_5_variables,5
PRT,2007,2007,1-2-2-1-1,7.0,1,2,2,1,1,31.67825223435948,39.9947650831043,23.42040079062233,0.3293804995427485,12.917556290688706,baseline_5_variables,5
SVK,2007,2007,4-1-1-1-2,9.0,4,1,1,1,2,73.68421052631578,0.0,0.0,2.486148416725561,23.24651428877013,baseline_5_variables,5
SVN,2007,2007,5-4-3-2-4,18.0,5,4,3,2,4,81.1320754716981,81.12812459102211,34.0933110360528,24.99601701506888,34.359418366661046,baseline_5_variables,5
SWE,2007,2007,3-3-5-4-4,19.0,3,3,5,4,4,64.84607745779543,63.7482004973171,96.69552068284526,51.2964706259738,42.38965728121482,baseline_5_variables,5
USA,2007,2007,2-4-5-5-4,20.0,2,4,5,5,4,48.44663866194638,83.6932338699123,75.01278612171896,77.13898717309793,47.194218437799535,baseline_5_variables,5
AUS,2019,2019,3-3-3-5-5,19.0,3,3,3,5,5,70.73261383439076,88.08641041162227,36.31892606143274,72.49028470317627,100.0,baseline_5_variables,5
AUT,2019,2019,2-3-5-3-2,15.0,2,3,5,3,2,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,baseline_5_variables,5
BEL,2019,2019,1-3-5-4-1,14.0,1,3,5,4,1,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,baseline_5_variables,5
BGR,2019,2019,5-4-1-2-4,16.0,5,4,1,2,4,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,baseline_5_variables,5
CAN,2019,2019,3-3-3-5-5,19.0,3,3,3,5,5,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,baseline_5_variables,5
CHE,2019,2019,5-4-5-4-3,21.0,5,4,5,4,3,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,baseline_5_variables,5
COL,2019,2019,2-1-1-1-5,10.0,2,1,1,1,5,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,baseline_5_variables,5
CZE,2019,2019,5-5-4-1-4,19.0,5,5,4,1,4,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,baseline_5_variables,5
DEU,2019,2019,3-5-5-2-2,17.0,3,5,5,2,2,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,baseline_5_variables,5
DNK,2019,2019,4-3-4-3-4,18.0,4,3,4,3,4,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,baseline_5_variables,5
ESP,2019,2019,2-1-2-3-1,9.0,2,1,2,3,1,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,baseline_5_variables,5
EST,2019,2019,5-4-3-4-5,21.0,5,4,3,4,5,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,baseline_5_variables,5
FIN,2019,2019,2-2-4-4-4,16.0,2,2,4,4,4,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,baseline_5_variables,5
FRA,2019,2019,1-1-4-3-3,12.0,1,1,4,3,3,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,baseline_5_variables,5
GBR,2019,2019,1-5-4-5-4,19.0,1,5,4,5,4,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,baseline_5_variables,5
GRC,2019,2019,1-1-2-2-1,7.0,1,1,2,2,1,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,baseline_5_variables,5
HRV,2019,2019,2-2-2-1-3,10.0,2,2,2,1,3,64.46613088404133,82.85411622276028,18.685613976028822,21.70648555061525,15.208864633434748,baseline_5_variables,5
HUN,2019,2019,2-5-3-2-2,14.0,2,5,3,2,2,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,baseline_5_variables,5
IRL,2019,2019,3-4-2-5-2,16.0,3,4,2,5,2,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,baseline_5_variables,5
ITA,2019,2019,1-1-3-1-1,7.0,1,1,3,1,1,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,baseline_5_variables,5
KOR,2019,2019,4-5-5-5-1,20.0,4,5,5,5,1,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,baseline_5_variables,5
LTU,2019,2019,4-2-1-4-2,13.0,4,2,1,4,2,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,baseline_5_variables,5
LUX,2019,2019,5-3-2-5-1,16.0,5,3,2,5,1,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,baseline_5_variables,5
LVA,2019,2019,4-2-1-3-3,13.0,4,2,1,3,3,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,baseline_5_variables,5
NLD,2019,2019,3-4-4-4-2,17.0,3,4,4,4,2,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,baseline_5_variables,5
NZL,2019,2019,5-4-3-3-4,19.0,5,4,3,3,4,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,baseline_5_variables,5
POL,2019,2019,4-5-2-2-3,16.0,4,5,2,2,3,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,baseline_5_variables,5
PRT,2019,2019,1-2-3-2-1,9.0,1,2,3,2,1,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,baseline_5_variables,5
ROU,2019,2019,4-4-1-1-5,15.0,4,4,1,1,5,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,baseline_5_variables,5
SVK,2019,2019,3-2-1-2-3,11.0,3,2,1,2,3,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,baseline_5_variables,5
SVN,2019,2019,2-3-4-3-3,15.0,2,3,4,3,3,67.27898966704937,90.83308111380146,42.932603292166014,40.45413332556315,16.66366192322806,baseline_5_variables,5
SWE,2019,2019,4-2-5-4-4,19.0,4,2,5,4,4,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,baseline_5_variables,5
TUR,2019,2019,5-1-2-1-2,11.0,5,1,2,1,2,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,baseline_5_variables,5
USA,2019,2019,1-5-5-5-5,21.0,1,5,5,5,5,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,baseline_5_variables,5
ZAF,2019,2019,3-1-1-1-5,11.0,3,1,1,1,5,68.08881852175062,0.0,7.200551492704578,0.0,36.1103793762552,baseline_5_variables,5
