,profile_a,profile_b,relationship
298,11423,34224,incomparable
299,11423,40441,incomparable
300,11423,41000,incomparable
301,11423,42243,incomparable
302,11423,42334,incomparable
303,11423,43000,incomparable
304,11423,44232,incomparable
305,12143,12413,incomparable
306,12143,12440,incomparable
307,12143,13324,incomparable
308,12143,14100,incomparable
309,12143,20322,incomparable
310,12143,21211,incomparable
311,12143,22001,incomparable
312,12143,23002,incomparable
313,12143,23021,incomparable
314,12143,23110,incomparable
315,12143,24012,incomparable
316,12143,24434,incomparable
317,12143,30342,incomparable
318,12143,31333,incomparable
319,12143,31334,incomparable
320,12143,33324,incomparable
321,12143,33434,incomparable
322,12143,34201,incomparable
323,12143,34224,incomparable
324,12143,40441,incomparable
325,12143,41000,incomparable
326,12143,42243,incomparable
327,12143,42334,incomparable
328,12143,43000,incomparable
329,12143,44232,incomparable
330,12413,12440,incomparable
331,12413,13324,incomparable
332,12413,14100,incomparable
333,12413,20322,incomparable
334,12413,21211,incomparable
335,12413,22001,incomparable
336,12413,23002,incomparable
337,12413,23021,incomparable
338,12413,23110,incomparable
339,12413,24012,incomparable
340,12413,24434,incomparable
341,12413,30342,incomparable
342,12413,31333,incomparable
343,12413,31334,incomparable
344,12413,33324,incomparable
345,12413,33434,incomparable
346,12413,34201,incomparable
347,12413,34224,incomparable
348,12413,40441,incomparable
349,12413,41000,incomparable
350,12413,42243,incomparable
351,12413,42334,incomparable
352,12413,43000,incomparable
353,12413,44232,incomparable
354,12440,13324,incomparable
355,12440,14100,incomparable
356,12440,20322,incomparable
357,12440,21211,incomparable
358,12440,22001,incomparable
359,12440,23002,incomparable
360,12440,23021,incomparable
361,12440,23110,incomparable
362,12440,24012,incomparable
363,12440,24434,incomparable
364,12440,30342,incomparable
365,12440,31333,incomparable
366,12440,31334,incomparable
367,12440,33324,incomparable
368,12440,33434,incomparable
369,12440,34201,incomparable
370,12440,34224,incomparable
371,12440,40441,incomparable
372,12440,41000,incomparable
373,12440,42243,incomparable
374,12440,42334,incomparable
375,12440,43000,incomparable
376,12440,44232,incomparable
377,13324,14100,incomparable
378,13324,20322,incomparable
379,13324,21211,incomparable
380,13324,22001,incomparable
381,13324,23002,incomparable
382,13324,23021,incomparable
383,13324,23110,incomparable
384,13324,24012,incomparable
385,13324,24434,incomparable
386,13324,30342,incomparable
387,13324,31333,incomparable
388,13324,31334,incomparable
389,13324,33324,incomparable
390,13324,33434,incomparable
391,13324,34201,incomparable
392,13324,34224,incomparable
393,13324,40441,incomparable
394,13324,41000,incomparable
395,13324,42243,incomparable
396,13324,42334,incomparable
397,13324,43000,incomparable
398,13324,44232,incomparable
399,14100,20322,incomparable
400,14100,21211,incomparable
401,14100,22001,incomparable
402,14100,23002,incomparable
403,14100,23021,incomparable
404,14100,23110,incomparable
405,14100,24012,incomparable
406,14100,24434,24434 dominates 14100
407,14100,30342,incomparable
408,14100,31333,incomparable
409,14100,31334,incomparable
410,14100,33324,incomparable
411,14100,33434,incomparable
412,14100,34201,34201 dominates 14100
413,14100,34224,34224 dominates 14100
414,14100,40441,incomparable
415,14100,41000,incomparable
416,14100,42243,incomparable
417,14100,42334,incomparable
418,14100,43000,incomparable
419,14100,44232,44232 dominates 14100
420,20322,21211,incomparable
421,20322,22001,incomparable
