shock_id,baseline_year,Country,profile_code,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,score_role,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels
2019,2019,HUN,2-5-3-2-2,2,False,0.09090909090909091,0.030303030303030304,0.8787878787878788,0.0380921895006402,0.06113956466069142,0.9007682458386683,0.032107023411371234,0.007992007992007992,diagnostic_poset_score_not_index,14.0,2,5,3,2,2,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,baseline_5_variables,5
2019,2019,IRL,3-4-2-5-2,1,True,0.06060606060606061,0.0,0.9393939393939394,0.0765044814340589,0.030409731113956465,0.8930857874519846,0.048160535117056855,0.011988011988011988,diagnostic_poset_score_not_index,16.0,3,4,2,5,2,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,baseline_5_variables,5
2019,2019,ITA,1-1-3-1-1,4,False,0.0,0.5757575757575758,0.42424242424242425,0.0006402048655569782,0.5998719590268886,0.3994878361075544,0.0,0.0,diagnostic_poset_score_not_index,7.0,1,1,3,1,1,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,baseline_5_variables,5
2019,2019,KOR,4-5-5-5-1,1,True,0.15151515151515152,0.0,0.8484848484848485,0.15973111395646608,0.002880921895006402,0.8373879641485276,0.33979933110367894,0.08458208458208458,diagnostic_poset_score_not_index,20.0,4,5,5,5,1,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,baseline_5_variables,5
2019,2019,LTU,4-2-1-4-2,2,False,0.0,0.09090909090909091,0.9090909090909091,0.020166453265044813,0.10211267605633803,0.8777208706786171,0.0,0.0,diagnostic_poset_score_not_index,13.0,4,2,1,4,2,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,baseline_5_variables,5
2019,2019,LUX,5-3-2-5-1,1,True,0.06060606060606061,0.0,0.9393939393939394,0.04769526248399488,0.01888604353393086,0.9334186939820742,0.032107023411371234,0.007992007992007992,diagnostic_poset_score_not_index,16.0,5,3,2,5,1,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,baseline_5_variables,5
2019,2019,LVA,4-2-1-3-3,3,False,0.030303030303030304,0.15151515151515152,0.8181818181818182,0.022727272727272728,0.11491677336747759,0.8623559539052497,0.0013377926421404682,0.000333000333000333,diagnostic_poset_score_not_index,13.0,4,2,1,3,3,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,baseline_5_variables,5
2019,2019,NLD,3-4-4-4-2,2,False,0.12121212121212122,0.030303030303030304,0.8484848484848485,0.12259923175416133,0.030409731113956465,0.8469910371318822,0.20468227424749164,0.05094905094905095,diagnostic_poset_score_not_index,17.0,3,4,4,4,2,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,baseline_5_variables,5
2019,2019,NZL,5-4-3-3-4,2,False,0.2727272727272727,0.030303030303030304,0.696969696969697,0.23015364916773368,0.01120358514724712,0.7586427656850192,0.39264214046822743,0.09773559773559773,diagnostic_poset_score_not_index,19.0,5,4,3,3,4,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,baseline_5_variables,5
2019,2019,POL,4-5-2-2-3,1,True,0.09090909090909091,0.0,0.9090909090909091,0.0765044814340589,0.030409731113956465,0.8930857874519846,0.033444816053511704,0.008325008325008326,diagnostic_poset_score_not_index,16.0,4,5,2,2,3,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,baseline_5_variables,5
