Country,Year,Value,Series_Code
BGR,2024,36.8345584738057,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2002,51.1504353621196,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2003,51.2618053385428,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2004,51.6913809440829,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2005,52.8386988620925,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2006,53.5059377141199,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2007,53.5208456368105,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2008,53.397530703595,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2009,53.5791760538777,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2010,53.8968500112124,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2011,54.8291323136036,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2012,54.7793939036119,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2013,55.5341672124657,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2014,57.1141057505269,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2015,56.942548241607,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2016,57.2555959951299,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2017,58.0639955437371,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2018,58.2228848546779,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2019,58.4071909395756,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2020,62.9137678298467,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2021,60.3763781819842,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2022,59.9536223235201,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2023,58.861747516413,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CAN,2024,58.5791510230702,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2002,68.2138179543226,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2003,67.8897662305109,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2004,68.2841690126466,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2005,69.8576155224638,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2006,71.6083666668635,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
